"ID предупреждения";"Текст предупреждения"
cannot_get_last_startup_time;"Не удалось получить время последнего старта устройства"
Идентификатор;"Тип прохода";"Временная метка"
21229600;"Вход";"2024-12-15 10:34:50"
21229601;"Вход";"2024-12-15 10:35:01"
21229602;"Вход";"2024-12-15 10:35:11"
21229603;"Вход";"2024-12-15 10:35:12"
21229604;"Вход";"2024-12-15 10:35:12"
21229605;"Выход";"2024-12-15 10:36:01"
21229606;"Выход";"2024-12-15 10:36:00"
21229607;"Вход";"2024-12-15 10:36:48"
21229608;"Вход";"2024-12-15 10:36:48"
21229609;"Вход";"2024-12-15 10:36:48"
21229610;"Вход";"2024-12-15 10:37:18"
21229611;"Выход";"2024-12-15 10:37:32"
21229612;"Выход";"2024-12-15 10:37:31"
21229613;"Вход";"2024-12-15 10:37:39"
21229614;"Вход";"2024-12-15 10:37:39"
21229615;"Вход";"2024-12-15 10:37:40"
21229616;"Вход";"2024-12-15 10:37:45"
21229617;"Вход";"2024-12-15 10:37:48"
21229618;"Вход";"2024-12-15 10:38:06"
21229619;"Вход";"2024-12-15 10:38:07"
21229622;"Вход";"2024-12-15 10:38:08"
21229623;"Вход";"2024-12-15 10:38:23"
21229624;"Вход";"2024-12-15 10:38:23"
21229625;"Выход";"2024-12-15 10:38:51"
21229626;"Выход";"2024-12-15 10:38:49"
21229627;"Выход";"2024-12-15 10:39:10"
21229628;"Вход";"2024-12-15 10:39:11"
21229629;"Вход";"2024-12-15 10:39:11"
21229630;"Вход";"2024-12-15 10:39:15"
21229633;"Вход";"2024-12-15 10:39:16"
21229634;"Выход";"2024-12-15 10:39:37"
21229635;"Выход";"2024-12-15 10:40:10"
21229636;"Выход";"2024-12-15 10:40:08"
21229637;"Выход";"2024-12-15 10:40:45"
21229638;"Выход";"2024-12-15 10:40:44"
21229639;"Выход";"2024-12-15 10:40:47"
21229640;"Вход";"2024-12-15 10:41:28"
21229641;"Вход";"2024-12-15 10:41:29"
21229642;"Вход";"2024-12-15 10:41:34"
21229643;"Вход";"2024-12-15 10:41:35"
21229644;"Выход";"2024-12-15 10:41:59"
21229645;"Выход";"2024-12-15 10:41:52"
21229646;"Выход";"2024-12-15 10:41:52"
21229647;"Вход";"2024-12-15 10:41:54"
21229648;"Выход";"2024-12-15 10:42:10"
21229651;"Выход";"2024-12-15 10:42:19"
21229652;"Вход";"2024-12-15 10:43:05"
21229653;"Вход";"2024-12-15 10:43:06"
21229654;"Вход";"2024-12-15 10:43:35"
21229655;"Вход";"2024-12-15 10:43:42"
21229656;"Вход";"2024-12-15 10:43:43"
21229657;"Вход";"2024-12-15 10:43:45"
21229658;"Вход";"2024-12-15 10:43:46"
21229659;"Вход";"2024-12-15 10:43:45"
21229660;"Выход";"2024-12-15 10:44:05"
21229661;"Выход";"2024-12-15 10:44:30"
21229662;"Выход";"2024-12-15 10:44:12"
21229663;"Вход";"2024-12-15 10:44:19"
21229664;"Вход";"2024-12-15 10:44:19"
21229665;"Вход";"2024-12-15 10:44:19"
21229666;"Выход";"2024-12-15 10:44:32"
21229667;"Выход";"2024-12-15 10:44:31"
21229668;"Вход";"2024-12-15 10:44:34"
21229669;"Вход";"2024-12-15 10:44:35"
21229670;"Выход";"2024-12-15 10:45:36"
21229671;"Вход";"2024-12-15 10:45:42"
21229672;"Вход";"2024-12-15 10:46:30"
21229673;"Выход";"2024-12-15 10:46:36"
21229674;"Выход";"2024-12-15 10:46:37"
21229675;"Выход";"2024-12-15 10:47:31"
21229676;"Вход";"2024-12-15 10:48:26"
21229677;"Вход";"2024-12-15 10:48:40"
21229678;"Выход";"2024-12-15 10:48:56"
21229679;"Выход";"2024-12-15 10:48:54"
21229680;"Выход";"2024-12-15 10:49:32"
21229681;"Выход";"2024-12-15 10:49:37"
21229682;"Выход";"2024-12-15 10:49:37"
21229683;"Вход";"2024-12-15 10:49:40"
21229684;"Вход";"2024-12-15 10:49:41"
21229685;"Вход";"2024-12-15 10:50:11"
21229686;"Вход";"2024-12-15 10:50:12"
21229687;"Вход";"2024-12-15 10:50:28"
21229688;"Вход";"2024-12-15 10:50:29"
21229689;"Вход";"2024-12-15 10:50:32"
21229690;"Вход";"2024-12-15 10:50:33"
21229691;"Вход";"2024-12-15 10:50:39"
21229692;"Вход";"2024-12-15 10:50:39"
21229693;"Вход";"2024-12-15 10:50:44"
21229694;"Вход";"2024-12-15 10:50:46"
21229695;"Вход";"2024-12-15 10:50:45"
21229696;"Вход";"2024-12-15 10:50:46"
21229697;"Вход";"2024-12-15 10:50:48"
21229698;"Вход";"2024-12-15 10:50:49"
21229699;"Выход";"2024-12-15 10:51:19"
21229702;"Вход";"2024-12-15 10:51:39"
21229703;"Вход";"2024-12-15 10:51:54"
21229704;"Вход";"2024-12-15 10:51:55"
21229705;"Вход";"2024-12-15 10:51:59"
21229706;"Вход";"2024-12-15 10:52:00"
21229707;"Вход";"2024-12-15 10:52:45"
21229708;"Выход";"2024-12-15 10:53:13"
21229709;"Выход";"2024-12-15 10:53:11"
21229712;"Вход";"2024-12-15 10:53:12"
21229713;"Вход";"2024-12-15 10:53:13"
21229714;"Вход";"2024-12-15 10:53:24"
21229715;"Вход";"2024-12-15 10:53:25"
21229716;"Вход";"2024-12-15 10:53:30"
21229717;"Вход";"2024-12-15 10:53:31"
21229718;"Вход";"2024-12-15 10:53:31"
21229719;"Вход";"2024-12-15 10:53:31"
21229720;"Вход";"2024-12-15 10:53:34"
21229721;"Вход";"2024-12-15 10:53:52"
21229722;"Вход";"2024-12-15 10:53:53"
21229723;"Выход";"2024-12-15 10:55:00"
21229724;"Выход";"2024-12-15 10:55:05"
21229725;"Вход";"2024-12-15 10:55:07"
21229726;"Вход";"2024-12-15 10:55:08"
21229727;"Вход";"2024-12-15 10:55:10"
21229728;"Вход";"2024-12-15 10:55:11"
21229729;"Выход";"2024-12-15 10:55:21"
21229730;"Вход";"2024-12-15 10:55:11"
21229731;"Вход";"2024-12-15 10:55:33"
21229732;"Выход";"2024-12-15 10:55:44"
21229735;"Вход";"2024-12-15 10:56:04"
21229736;"Вход";"2024-12-15 10:56:04"
21229737;"Вход";"2024-12-15 10:56:31"
21229738;"Вход";"2024-12-15 10:56:32"
21229739;"Вход";"2024-12-15 10:56:33"
21229740;"Вход";"2024-12-15 10:57:15"
21229741;"Вход";"2024-12-15 10:57:16"
21229742;"Выход";"2024-12-15 10:57:34"
21229743;"Выход";"2024-12-15 10:57:31"
21229744;"Вход";"2024-12-15 10:57:37"
21229745;"Вход";"2024-12-15 10:57:37"
21229746;"Вход";"2024-12-15 10:57:38"
21229747;"Вход";"2024-12-15 10:57:49"
21229748;"Вход";"2024-12-15 10:57:49"
21229749;"Вход";"2024-12-15 10:57:51"
21229750;"Вход";"2024-12-15 10:57:51"
21229751;"Вход";"2024-12-15 10:57:53"
21229752;"Вход";"2024-12-15 10:57:53"
21229753;"Вход";"2024-12-15 10:57:58"
21229754;"Вход";"2024-12-15 10:57:59"
21229755;"Вход";"2024-12-15 10:58:01"
21229756;"Вход";"2024-12-15 10:58:32"
21229757;"Вход";"2024-12-15 10:58:33"
21229758;"Вход";"2024-12-15 10:58:37"
21229759;"Вход";"2024-12-15 10:58:37"
21229760;"Вход";"2024-12-15 10:58:38"
21229761;"Вход";"2024-12-15 10:58:45"
21229762;"Выход";"2024-12-15 10:59:38"
21229763;"Выход";"2024-12-15 10:59:21"
21229764;"Выход";"2024-12-15 10:59:22"
21229765;"Вход";"2024-12-15 10:59:37"
21229766;"Вход";"2024-12-15 10:59:38"
21229767;"Вход";"2024-12-15 10:59:57"
21229768;"Вход";"2024-12-15 10:59:58"
21229769;"Вход";"2024-12-15 10:59:59"
21229770;"Вход";"2024-12-15 11:00:07"
21229771;"Вход";"2024-12-15 11:00:11"
21229772;"Вход";"2024-12-15 11:00:16"
21229773;"Вход";"2024-12-15 11:00:29"
21229774;"Вход";"2024-12-15 11:00:30"
21229775;"Выход";"2024-12-15 11:00:55"
21229776;"Выход";"2024-12-15 11:01:37"
21229777;"Выход";"2024-12-15 11:01:36"
21229778;"Выход";"2024-12-15 11:01:38"
21229781;"Вход";"2024-12-15 11:01:37"
21229782;"Вход";"2024-12-15 11:01:40"
21229783;"Вход";"2024-12-15 11:01:40"
21229784;"Вход";"2024-12-15 11:01:42"
21229785;"Вход";"2024-12-15 11:01:50"
21229786;"Вход";"2024-12-15 11:01:51"
21229787;"Вход";"2024-12-15 11:01:59"
21229788;"Вход";"2024-12-15 11:02:11"
21229789;"Вход";"2024-12-15 11:02:13"
21229790;"Вход";"2024-12-15 11:02:26"
21229791;"Вход";"2024-12-15 11:02:27"
21229792;"Выход";"2024-12-15 11:02:44"
21229793;"Выход";"2024-12-15 11:02:33"
21229794;"Выход";"2024-12-15 11:02:37"
21229795;"Выход";"2024-12-15 11:02:47"
21229796;"Выход";"2024-12-15 11:02:52"
21229797;"Выход";"2024-12-15 11:03:05"
21229798;"Выход";"2024-12-15 11:03:02"
21229799;"Вход";"2024-12-15 11:03:50"
21229800;"Вход";"2024-12-15 11:03:52"
21229801;"Вход";"2024-12-15 11:03:52"
21229814;"Выход";"2024-12-15 11:04:16"
21229815;"Выход";"2024-12-15 11:04:20"
21229816;"Выход";"2024-12-15 11:04:18"
21229821;"Выход";"2024-12-15 11:04:22"
21229822;"Выход";"2024-12-15 11:04:21"
21229825;"Выход";"2024-12-15 11:04:46"
21229826;"Выход";"2024-12-15 11:04:39"
21229831;"Выход";"2024-12-15 11:04:47"
21229832;"Выход";"2024-12-15 11:04:45"
21229833;"Выход";"2024-12-15 11:04:46"
21229834;"Выход";"2024-12-15 11:04:47"
21229837;"Вход";"2024-12-15 11:04:49"
21229839;"Вход";"2024-12-15 11:04:56"
21229841;"Вход";"2024-12-15 11:05:34"
21229842;"Вход";"2024-12-15 11:06:07"
21229843;"Вход";"2024-12-15 11:06:08"
21229844;"Вход";"2024-12-15 11:06:10"
21229847;"Вход";"2024-12-15 11:06:14"
21229848;"Вход";"2024-12-15 11:06:16"
21229849;"Выход";"2024-12-15 11:06:46"
21229850;"Вход";"2024-12-15 11:07:00"
21229851;"Вход";"2024-12-15 11:07:00"
21229852;"Выход";"2024-12-15 11:07:18"
21229853;"Выход";"2024-12-15 11:07:22"
21229854;"Выход";"2024-12-15 11:08:44"
21229855;"Выход";"2024-12-15 11:08:36"
21229856;"Выход";"2024-12-15 11:08:37"
21229857;"Выход";"2024-12-15 11:08:46"
21229858;"Выход";"2024-12-15 11:08:56"
21229859;"Выход";"2024-12-15 11:09:24"
21229860;"Вход";"2024-12-15 11:09:05"
21229861;"Вход";"2024-12-15 11:09:05"
21229862;"Выход";"2024-12-15 11:09:37"
21229863;"Выход";"2024-12-15 11:09:45"
21229864;"Выход";"2024-12-15 11:09:43"
21229865;"Вход";"2024-12-15 11:10:27"
21229866;"Выход";"2024-12-15 11:10:59"
21229867;"Вход";"2024-12-15 11:11:10"
21229868;"Вход";"2024-12-15 11:11:14"
21229869;"Вход";"2024-12-15 11:11:15"
21229870;"Вход";"2024-12-15 11:11:18"
21229871;"Вход";"2024-12-15 11:11:19"
21229872;"Вход";"2024-12-15 11:11:24"
21229873;"Вход";"2024-12-15 11:11:34"
21229874;"Выход";"2024-12-15 11:11:43"
21229875;"Выход";"2024-12-15 11:11:41"
21229876;"Вход";"2024-12-15 11:11:51"
21229877;"Вход";"2024-12-15 11:11:52"
21229878;"Вход";"2024-12-15 11:11:55"
21229879;"Выход";"2024-12-15 11:12:03"
21229880;"Выход";"2024-12-15 11:12:33"
21229881;"Выход";"2024-12-15 11:12:31"
21229882;"Выход";"2024-12-15 11:12:56"
21229883;"Выход";"2024-12-15 11:12:54"
21229884;"Выход";"2024-12-15 11:12:59"
21229885;"Выход";"2024-12-15 11:12:57"
21229886;"Вход";"2024-12-15 11:13:03"
21229887;"Вход";"2024-12-15 11:13:03"
21229888;"Вход";"2024-12-15 11:13:03"
21229889;"Вход";"2024-12-15 11:13:03"
21229890;"Вход";"2024-12-15 11:13:13"
21229891;"Выход";"2024-12-15 11:13:39"
21229892;"Выход";"2024-12-15 11:13:41"
21229895;"Выход";"2024-12-15 11:13:43"
21229896;"Выход";"2024-12-15 11:13:54"
21229897;"Выход";"2024-12-15 11:14:03"
21229898;"Вход";"2024-12-15 11:14:25"
21229899;"Вход";"2024-12-15 11:14:24"
21229900;"Выход";"2024-12-15 11:14:48"
21229901;"Выход";"2024-12-15 11:14:47"
21229902;"Выход";"2024-12-15 11:14:50"
21229903;"Выход";"2024-12-15 11:15:05"
21229904;"Вход";"2024-12-15 11:15:24"
21229905;"Выход";"2024-12-15 11:15:24"
21229906;"Выход";"2024-12-15 11:15:44"
21229909;"Вход";"2024-12-15 11:16:33"
21229912;"Вход";"2024-12-15 11:16:39"
21229913;"Вход";"2024-12-15 11:16:40"
